customer_id,name,age,gender,city,income,transaction_id,product_id,amount,product_name,price,stock,firstName,lastName,api_age,api_gender,email,phone,height,weight,gender_encoded,api_gender_encoded,payment_mode_Cash,payment_mode_Credit Card,payment_mode_Debit Card,payment_mode_UPI,category_Electronics,bloodGroup_A+,bloodGroup_A-,bloodGroup_AB+,bloodGroup_AB-,bloodGroup_B+,bloodGroup_B-,bloodGroup_O+,bloodGroup_O-,high_value_customer,purchase_category,product_number,log_income,sqrt_amount,reciprocal_price,boxcox_income,yeojohnson_amount,income_group,amount_group
101,User1,38.0,Female,Delhi,591541.588888889,T027,P022,25000.0,Product22,863.0,61.0,Emily,Johnson,29.0,female,emily.johnson@x.dummyjson.com,+81 965-431-3024,193.24,63.16,0,0,False,True,False,False,True,False,False,False,False,False,False,False,True,1,High Purchase,022,13.290488961311366,158.11388300841898,0.0011574074074074073,-0.04324074701421707,0.3041152414122071,Medium,"(20563.5, 30281.75]"
101,User1,38.0,Female,Delhi,591541.588888889,T167,P022,25000.0,Product22,863.0,61.0,Michael,Williams,36.0,male,michael.williams@x.dummyjson.com,+49 258-627-6644,186.22,76.32,0,1,False,False,False,True,True,False,False,False,False,True,False,False,False,1,High Purchase,022,13.290488961311366,158.11388300841898,0.0011574074074074073,-0.04324074701421707,0.3041152414122071,Medium,"(20563.5, 30281.75]"
101,User1,38.0,Female,Delhi,591541.588888889,T183,P033,4880.0,Product33,3729.0,74.0,Sophia,Brown,43.0,female,sophia.brown@x.dummyjson.com,+81 210-652-2785,177.72,52.6,0,0,False,True,False,False,True,False,False,False,False,False,False,False,True,1,Low Purchase,033,13.290488961311366,69.85699678629192,0.00026809651474530834,-0.04324074701421707,-1.1581666844354226,Medium,"(1088.127, 10845.25]"
101,User1,38.0,Female,Delhi,591541.588888889,T218,P021,25000.0,Product21,1698.0,97.0,James,Davis,46.0,male,james.davis@x.dummyjson.com,+49 614-958-9364,193.31,62.1,0,1,False,False,False,True,True,False,False,True,False,False,False,False,False,1,High Purchase,021,13.290488961311366,158.11388300841898,0.0005885815185403178,-0.04324074701421707,0.3041152414122071,Medium,"(20563.5, 30281.75]"
102,User2,26.0,Female,Delhi,900000.0,T060,P011,25000.0,Product11,3616.0,93.0,Emma,Miller,31.0,female,emma.miller@x.dummyjson.com,+91 759-776-1614,192.8,63.62,0,0,True,False,False,False,True,False,False,False,True,False,False,False,False,1,High Purchase,011,13.710151153416941,158.11388300841898,0.0002764722145424385,1.2482217652539147,0.3041152414122071,High,"(20563.5, 30281.75]"
102,User2,26.0,Female,Delhi,900000.0,T131,P026,40000.0,Product26,3383.0,95.0,Olivia,Wilson,23.0,female,olivia.wilson@x.dummyjson.com,+91 607-295-6448,182.61,58.0,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,1,High Purchase,026,13.710151153416941,200.0,0.0002955082742316785,1.2482217652539147,1.1301072781024215,High,"(30281.75, 40000.0]"
103,User3,45.0,Male,Pune,500000.0,NO_TRANSACTION,NO_PRODUCT,22150.55,Product20,3108.4045454545453,51.1,Alexander,Jones,39.0,male,alexander.jones@x.dummyjson.com,+61 260-824-4986,153.89,77.42,1,1,True,False,False,False,True,False,False,False,True,False,False,False,False,0,High Purchase,,13.122365377402328,148.8306084110389,0.00032160498429252023,-0.4083848859605187,0.13120246093395818,Medium,"(20563.5, 30281.75]"
104,User4,24.0,Male,Pune,900000.0,T215,P038,40000.0,Product38,4351.0,7.0,Ava,Taylor,28.0,female,ava.taylor@x.dummyjson.com,+1 458-853-7877,168.47,57.08,1,0,True,False,False,False,True,False,False,False,True,False,False,False,False,1,High Purchase,038,13.710151153416941,200.0,0.00022977941176470588,1.2482217652539147,1.1301072781024215,High,"(30281.75, 40000.0]"
105,User5,29.0,Female,Mumbai,500000.0,T014,P047,25000.0,Product47,4874.0,99.0,Ethan,Martinez,34.0,male,ethan.martinez@x.dummyjson.com,+92 933-608-5081,159.19,68.81,0,1,False,False,True,False,True,False,False,True,False,False,False,False,False,0,High Purchase,047,13.122365377402328,158.11388300841898,0.00020512820512820512,-0.4083848859605187,0.3041152414122071,Medium,"(20563.5, 30281.75]"
105,User5,29.0,Female,Mumbai,500000.0,T139,P003,25000.0,Product3,3439.0,82.0,Isabella,Anderson,32.0,female,isabella.anderson@x.dummyjson.com,+49 770-658-4885,150.56,50.1,0,0,True,False,False,False,True,False,True,False,False,False,False,False,False,0,High Purchase,003,13.122365377402328,158.11388300841898,0.00029069767441860465,-0.4083848859605187,0.3041152414122071,Medium,"(20563.5, 30281.75]"
